FullName,Position,TeamName,RatingTier,StatCheck,value
Juwan Johnson,TE,CIN,tier_5,ScrimmmageYardsPerGame,10.133333333333333
Diontae Johnson,WR,PIT,tier_2,ScrimmmageYardsPerGame,60.84615384615385
Austin Stonger,TE,NYJ,tier_6,ScrimmmageYardsPerGame,1.1333333333333333
Kyler Murray,QB,ARI,tier_3,ScrimmmageYardsPerGame,25.333333333333332
Michael Mayer,TE,BUF,tier_5,ScrimmmageYardsPerGame,5.533333333333333
P.J. Walker,QB,PHI,tier_6,ScrimmmageYardsPerGame,0.0
JuJu Smith-Schuster,WR,HOU,tier_2,ScrimmmageYardsPerGame,57.69230769230769
Gabe Nabers,FB,CIN,tier_6,ScrimmmageYardsPerGame,1.4
Jeremy Ruckert,TE,ARI,tier_6,ScrimmmageYardsPerGame,5.333333333333333
Anthony McFarland,HB,PIT,tier_5,ScrimmmageYardsPerGame,21.615384615384617
Antonio Gandy-Golden,WR,CIN,tier_5,ScrimmmageYardsPerGame,0.0
Tyree Jackson,TE,LV,tier_6,ScrimmmageYardsPerGame,1.4
Dallas Goedert,TE,PHI,tier_3,ScrimmmageYardsPerGame,36.857142857142854
Keaontay Ingram,HB,LV,tier_5,ScrimmmageYardsPerGame,0.4
Jakobi Meyers,WR,LV,tier_4,ScrimmmageYardsPerGame,54.46666666666667
Desmond Ridder,QB,CIN,tier_6,ScrimmmageYardsPerGame,0.0
Teddy Bridgewater,QB,DEN,tier_6,ScrimmmageYardsPerGame,12.4
Tyler Hudson,WR,BAL,tier_6,ScrimmmageYardsPerGame,1.0666666666666667
Ben Mason,FB,NYG,tier_5,ScrimmmageYardsPerGame,0.15384615384615385
DeAndre Hopkins,WR,ARI,tier_1,ScrimmmageYardsPerGame,70.13333333333334
Ja'Marr Chase,WR,CIN,tier_2,ScrimmmageYardsPerGame,69.46666666666667
Eric Ebron,TE,PIT,tier_5,ScrimmmageYardsPerGame,8.266666666666667
Odell Beckham Jr,WR,BUF,tier_3,ScrimmmageYardsPerGame,57.733333333333334
Racey McMath,WR,TEN,tier_6,ScrimmmageYardsPerGame,12.8
Brock Purdy,QB,BUF,tier_6,ScrimmmageYardsPerGame,0.0
Andrew Beck,FB,BUF,tier_5,ScrimmmageYardsPerGame,10.066666666666666
Josh Jacobs,HB,LV,tier_0,ScrimmmageYardsPerGame,93.13333333333334
Foster Moreau,TE,CIN,tier_5,ScrimmmageYardsPerGame,47.53333333333333
Bailey Zappe,QB,CAR,tier_6,ScrimmmageYardsPerGame,0.6
Hunter Renfrow,WR,LV,tier_3,ScrimmmageYardsPerGame,56.0
Davante Adams,WR,NYJ,tier_1,ScrimmmageYardsPerGame,59.2
Parris Campbell,WR,ARI,tier_4,ScrimmmageYardsPerGame,48.53333333333333
Quez Watkins,WR,PHI,tier_5,ScrimmmageYardsPerGame,26.6
David Njoku,TE,ARI,tier_4,ScrimmmageYardsPerGame,43.142857142857146
Derek Carr,QB,LAR,tier_4,ScrimmmageYardsPerGame,10.533333333333333
